Leikfimikennsla	leikfimikennsla	nven
byrjar	byrja	sfg3en
þriðjud.	þriðjud.	ks
17	17.	ta
sept	sept	ks
kl.	kl.	ks
11-12	11-12	ta
,	,	pk
einnig	einnig	aa
verður	verða	sfg3en
kennt	kenna	sþghen
á	á	af
fimmtud.	fimmtud.	ks
kl.	kl.	ks
13-14	13-14	ta
Theodóra	Theodóra	nven-s
Emilsdóttir	Emilsdóttir	nven-s
.	.	pl

Vitatorg	Vitatorg	nhen-s
.	.	pl

Kl.	kl.	ks
8	8	ta
45	45	ta
smíði	smíði	nven
,	,	pk
Kl.	kl.	ks
9	9	ta
hárgreiðsla	hárgreiðsla	nven
og	og	c
myndlist	myndlist	nven
,	,	pk
Kl.	kl.	ks
9.30	9.30	ta
bókband	bókband	nhen
og	og	c
morgunstund	morgunstund	nven
,	,	pk
Kl.	kl.	ks
10	10	ta
fótaaðgerðir	fótaaðgerð	nvfn
og	og	c
leikfimi	leikfimi	nven
,	,	pk
Kl.	kl.	ks
12.30	12.30	ta
leirmótun	leirmótun	nven
,	,	pk
Kl.	kl.	ks
13.30	13.30	ta
bingó	bingó	nhen
.	.	pl

Vetrardagskráin	vetrardagskrá	nveng
komin	koma	sþgven
.	.	pl

Laus	laus	lhfnsf
pláss	pláss	nhfn
í	í	af
eftirtöldum	eftirtalinn	lhfþsf
námskeiðum	námskeið	nhfþ
:	:	pa
bókband	bókband	nheþ
,	,	pk
myndlist	myndlist	nveþ
,	,	pk
leirmótun	leirmótun	nveþ
,	,	pk
körfugerð	körfugerð	nveþ
,	,	pk
mósaik	mósaik	nveþ
og	og	c
smiðju	smiðja	nveþ
.	.	pl

Upplýsingar	upplýsing	nvfn
í	í	af
síma	sími	nkeþ
5610300	5610300	ta
.	.	pl

Allir	allur	fokfn
aldurshópar	aldurshópur	nkfn
velkomnir	velkominn	lkfnsf
.	.	pl

Hallgrímskirkja	Hallgrímskirkja	nven-s
,	,	pk
eldri	gamall	lkfnvm
borgarar	borgari	nkfn
.	.	pl

Vetrarstarfið	vetrarstarf	nheng
er	vera	sfg3en
hafið	hefja	sþghen
.	.	pl

Leikfimi	leikfimi	nven
þriðjudaga	þriðjudagur	nkfo
kl.	kl.	ks
13	13	ta
,	,	pk
súpa	súpa	nven
,	,	pk
spil	spil	nhen
og	og	c
spjall	spjall	nhen
.	.	pl

Uppl.	uppl.	ks
gefur	gefa	sfg3en
Dagbjört	Dagbjört	nven-s
s.	s.	ks
5101034	5101034	ta
.	.	pl

Bridsdeild	bridsdeild	nven
FEBK	FEBK	n----s
Gjábakka	Gjábakki	nkeþ-s
.	.	pl

Brids	brids	nhen
kl.	kl.	ks
13.15	13.15	ta
í	í	af
dag	dagur	nkeo
.	.	pl

Hana-nú	hananú	aa
,	,	pk
Kópavogi	Kópavogur	nkeþ-s
.	.	pl

Laugardagsgangan	laugardagsganga	nveng
verður	verða	sfg3en
á	á	af
morgun	morgunn	nkeo
.	.	pl

Lagt	leggja	sþghen
af	af	af
stað	staður	nkeþ
frá	frá	af
Gjábakka	Gjábakki	nkeþ-s
,	,	pk
Fannborg	Fannborg	nveþ-s
8	8	ta
,	,	pk
kl.	kl.	ks
10	10	ta
.	.	pl

Gott	góður	lhensf
fólk	fólk	nhen
,	,	pk
gott	góður	lhensf
rölt	rölt	nhen
.	.	pl

Gengið	ganga	sþghen
frá	frá	af
Gullsmára	Gullsmári	nkeþ-s
13	13	ta
,	,	pk
kl.	kl.	ks
10	10	ta
á	á	af
laugardögum	laugardagur	nkfþ
.	.	pl

Félag	Félag	nhen-s
kennara	kennari	nkfe
á	á	af
eftirlaunum	eftirlaun	nhfþ
.	.	pl

Félagsvistin	félagsvist	nveng
laugard.	laugard.	ks
14	14.	ta
sept.	sept.	ks
verður	verða	sfg3en
í	í	af
Síðumúla	Síðumúli	nkeþ-s
37	37	ta
,	,	pk
húsi	hús	nheþ
Bridgesambands	Bridgesamband	nhee-s
Íslands	Ísland	nhee-s
,	,	pk
klukkan	klukka	nveng
13.30	13.30	ta
,	,	pk
en	en	c
ekki	ekki	aa
í	í	af
Húnabúð	Húnabúð	nveþ-s
eins	eins	aa
og	og	c
sagt	segja	sþghen
var	vera	sfg3eþ
í	í	af
seinasta	seinn	lheþve
fréttabréfi	fréttabréf	nheþ
FKE	FKE	n----s
.	.	pl

Þórir	Þórir	nken-s
Sigurðsson	Sigurðsson	nken-s
segir	segja	sfg3en
frá	frá	af
þingi	þing	nheþ
Norrænna	norrænn	lkfesf
kennara	kennari	nkfe
á	á	af
eftirlaunum	eftirlaun	nhfþ
.	.	pl

Karlakórinn	karlakór	nkeng
Kátir	kátur	lkfnsf
karlar	karl	nkfn
.	.	pl

Hefur	hefja	sfg3en
æfingar	æfing	nvfo
þriðjudaginn	þriðjudagur	nkeog
17	17.	ta
sept	sept	ks
kl.	kl.	ks
13	13	ta
í	í	af
Félags-	félagsmiðstöð	kt
og	og	c
þjónustumiðstöðinni	þjónustumiðstöð	nveþg
Árskógum	Árskógar	nkfþ-s
4	4	ta
.	.	pl

Söngstjóri	söngstjóri	nken
Úlrik	Úlrik	nken-s
Ólason	Ólason	nken-s
.	.	pl

Tekið	taka	sþghen
við	við	af
pöntunum	pöntun	nvfþ
í	í	af
söng	söngur	nkeo
í	í	af
s.	s.	ks
5535979	5535979	ta
Jón	Jón	nken-s
,	,	pk
s.	s.	ks
5518857	5518857	ta
Guðjón	Guðjón	nken-s
eða	eða	c
s.	s.	ks
5532725	5532725	ta
Stefán	Stefán	nken-s
.	.	pl

Ungt	ungur	lhensf
fólk	fólk	nhen
með	með	af
ungana	ungi	nkfog
sína	sinn	fekfo
.	.	pl

Hitt	hinn	fahen
húsið	hús	nheng
býður	bjóða	sfg3en
ungum	ungur	lkfþsf
foreldrum	foreldrar	nkfþ
(	(	pa
16	16	ta
-25	-25	ta
ára	ár	nhfe
)	)	pa
að	að	cn
mæta	mæta	sng
með	með	af
börnin	barn	nhfog
sín	sinn	fehfo
á	á	af
laugard.	laugard.	ks
kl.	kl.	ks
15-17	15-17	ta
á	á	af
Geysi	Geysir	nkeo-s
,	,	pk
Kakóbar	Kakóbar	nkeo-s
,	,	pk
Aðalstræti	Aðalstræti	nheþ-s
2	2	ta
Félag	Félag	nhen-s
eldri	gamall	lkfevm
borgara	borgari	nkfe
Suðurnesjum	Suðurnes	nhfþ-s
.	.	pl

Bingó	bingó	nhen
í	í	af
Selinu	Sel	nheþgs
Vallarbraut	Vallarbraut	nveþ-s
4	4	ta
,	,	pk
Njarðvík	Njarðvík	nveþ-s
öll	allur	fohfo
mánudagskvöld	mánudagskvöld	nhfo
kl.	kl.	ks
20	20	ta
.	.	pl

Minningarkort	minningarkort	nhfn
Minningarspjöld	minningarspjald	nhfn
Kristniboðssambandsins	Kristniboðssamband	nheegs
frást	fá	x
á	á	af
skrifstofunni	skrifstofa	nveþg
,	,	pk
Holtavegi	Holtavegur	nkeþ-s
28	28	ta
(	(	pa
hús	hús	nhen
KFUM	KFUM	n----s
og	og	c
K	K	nheo-s
gengt	gengur	af
Langholtsskóla	Langholtsskóli	nkeþ-s
)	)	pa
sími	sími	nken
588-8899	588-8899	ta
.	.	pl

(	(	pa
Gal	Gal.	n----s
5	5	ta
,	,	pk
1	1.	ta
)	)	pa

Skipin	skip	nhfng
Reykjavíkurhöfn	Reykjavíkurhöfn	nven-s
:	:	pa
Laugarnes	Laugarnes	nhen-s
og	og	c
Hákon	Hákon	nken-s
koma	koma	sfg3fn
í	í	af
dag	dagur	nkeo
.	.	pl

Hafnarfjarðarhöfn	Hafnarfjarðarhöfn	nven-s
:	:	pa
Bitland	Bitland	nhen-s
kemur	koma	sfg3en
í	í	af
dag	dagur	nkeo
.	.	pl

Mannamót	mannamót	nhfn
Aflagrandi	Aflagrandi	nken-s
40	40	ta
.	.	pl

Haustlitaferð	haustlitaferð	nven
á	á	af
Þingvöll	Þingvöllur	nkeo-s
miðvikudaginn	miðvikudagur	nkeog
18	18	ta
sept.	sept.	ks

Farið	fara	sþghen
frá	frá	af
Aflagranda	Aflagrandi	nkeþ-s
40	40	ta
kl.	kl.	ks
13	13	ta
og	og	c
Hraunbæ	Hraunbær	nkeþ-s
kl.	kl.	ks
13.30	13.30	ta
Eldri	gamall	lkfnvm
borgarar	borgari	nkfn
í	í	af
Mosfellsbæ	Mosfellsbær	nkeþ-s
,	,	pk
Kjalarnesi	Kjalarnes	nheþ-s
og	og	c
Kjós	Kjós	nveþ-s
!	!	pl

Félagsstarfið	félagsstarf	nheng
er	vera	sfg3en
á	á	af
mánu-	mánudagur	kt
og	og	c
fimmtudögum	fimmtudagur	nkfþ
.	.	pl

Mánudagar	mánudagur	nkfn
:	:	pa
Kl.	kl.	ks
16	16	ta
leikfimi	leikfimi	nven
.	.	pl

Laugardagar	laugardagur	nkfn
:	:	pa
kl.	kl.	ks
10-12	10-12	ta
bókbandsnámskeið	bókbandsnámskeið	nhen
,	,	pk
línudans	línudans	nken
byrjar	byrja	sfg3en
5	5	ta
okt.	okt.	ks
kl.	kl.	ks
11	11	ta
.	.	pl

Fimmtudagar	fimmtudagur	nkfn
:	:	pa
kl.	kl.	ks
13	13	ta
tréskurðarnámskeið	tréskurðarnámskeið	nhen
,	,	pk
kl.	kl.	ks
14	14	ta
bækur	bók	nvfn
frá	frá	af
bókasafninu	bókasafn	nheþg
til	til	af
útláns	útlán	nhee
,	,	pk
kl.	kl.	ks
15-16	15-16	ta
bókaspjall	bókaspjall	nhen
,	,	pk
kór	kór	nken
eldri	gamall	lkfevm
borgara	borgari	nkfe
Vorboðar	Vorboði	nkfn-s
:	:	pa
kóræfing	kóræfing	nven
í	í	af
DAMOS	Damos	n-eþ-s
kl.	kl.	ks
17-19	17-19	ta
Námskeið	námskeið	nhen
í	í	af
postulínsmálun	postulínsmálun	nveþ
byrjar	byrja	sfg3en
18	18.	ta
nóv.	nóv.	ks

Uppl.	uppl.	ks
og	og	c
skráningar	skráning	nvfn
á	á	af
námskeið	námskeið	nhfo
hjá	hjá	af
Svanhildi	Svanhildur	nveþ-s
,	,	pk
s.	s.	ks
5868014	5868014	ta
e.h.	e.h.	ks

Félag	Félag	nhen-s
eldri	gamall	lkfevm
borgara	borgari	nkfe
,	,	pk
Hafnarfirði	Hafnarfjörður	nkeþ-s
,	,	pk
Hraunseli	Hraunsel	nheþ-s
,	,	pk
Flatahrauni	Flatahraun	nheþ-s
3	3	ta
.	.	pl

Í	í	af
dag	dagur	nkeo
morgungangan	morgunganga	nveng
kl.	kl.	ks
10	10	ta
frá	frá	af
Hraunseli	Hraunsel	nheþ-s
,	,	pk
Rúta	rúta	nven
frá	frá	af
Firðinum	Fjörður	nkeþgs
kl.	kl.	ks
9.50	9.50	ta
Fimmtudaginn	fimmtudagur	nkeog
19	19.	ta
sept.	sept.	ks

Opið	opinn	lhensf
hús	hús	nhen
í	í	af
boði	boð	nheþ
Lyfju	Lyfja	nvee-s
þar	þar	aa
sem	sem	c
verður	verða	sfg3en
kynnt	kynna	sþgven
inntaka	inntaka	nven
lyfja	lyf	nhfe
og	og	c
og	og	c
ýmis	ýmis	foven
þjónusta	þjónusta	nven
og	og	c
einnig	einnig	aa
fræðsla	fræðsla	nven
um	um	af
beinþynningu	beinþynning	nveo
og	og	c
beinþéttnimælingu	beinþéttnimæling	nveo
.	.	pl

Harmonikuleikur	harmonikuleikur	nken
og	og	c
söngur	söngur	nken
og	og	c
kaffi	kaffi	nhen
á	á	aa
eftir	eftir	aa
.	.	pl

Einig	einnig	x
verður	verða	sfg3en
dagskrá	dagskrá	nven
félagsins	félag	nheeg
í	í	af
vetur	vetur	nkeo
kynnt	kynna	sþgven
.	.	pl

Leikfimi	leikfimi	nven
eldri	gamall	lkfevm
borgara	borgari	nkfe
í	í	af
íþróttamiðstöðini	íþróttamiðstöð	nveþg
Björk	Björk	nveþ-s
(	(	pa
gamla	gamall	lhenvf
Haukahúsið	Haukahús	nhengs
)	)	pa
á	á	af
þriðju-	þriðjudagur	kt
,	,	pk
fimmtu-	fimmtudagur	kt
og	og	c
föstudögum	föstudagur	nkfþ
kl.	kl.	ks
11.30	11.30	ta
,	,	pk
skráning	skráning	nven
og	og	c
greiðslur	greiðsla	nvfn
í	í	af
Hraunseli	Hraunsel	nheþ-s
sími	sími	nken
5550142	5550142	ta
.	.	pl

Félag	Félag	nhen-s
eldri	gamall	lkfevm
borgara	borgari	nkfe
,	,	pk
Garðabæ	Garðabær	nkeþ-s
,	,	pk
ferð	ferð	nven
á	á	af
Akranes	Akranes	nheo-s
í	í	af
dag	dagur	nkeo
kl.	kl.	ks
11.30	11.30	ta
frá	frá	af
Hleinum	Hlein	nvfþ-s
og	og	c
frá	frá	af
Kirkjuhvoli	Kirkjuhvoll	nkeþ-s
kl.	kl.	ks
12	12	ta
.	.	pl

Heimsókn	heimsókn	nven
til	til	af
félags	félag	nhee
eldri	gamall	lkfevm
borgara	borgari	nkfe
á	á	af
Akranesi	Akranes	nheþ-s
,	,	pk
kaupstaðurinn	kaupstaður	nkeng
skoðaður	skoða	sþgken
með	með	af
leiðsögn	leiðsögn	nveþ
Bjarnfríðar	Bjarnfríður	nvee-s
Leósdóttur	Leósdóttir	nvee-s
.	.	pl

Upplýsingar	upplýsing	nvfo
gefur	gefa	sfg3en
Arndís	Arndís	nven-s
Magnúsdóttir	Magnúsdóttir	nven-s
,	,	pk
s.	s.	ks
5657826	5657826	ta
,	,	pk
8957826	8957826	ta
.	.	pl

Garðakórinn	Garðakór	nkengs
,	,	pk
kór	kór	nken
eldri	gamall	lkfevm
borgara	borgari	nkfe
í	í	af
Garðabæ	Garðabær	nkeþ-s
,	,	pk
er	vera	sfg3en
að	að	cn
hefja	hefja	sng
starfsemi	starfsemi	nveo
sína	sinn	feveo
,	,	pk
kóræfingar	kóræfing	nvfn
á	á	af
mánudögum	mánudagur	nkfþ
kl.	kl.	ks
17	17	ta
í	í	af
Kirkjuhvoli	Kirkjuhvoll	nkeþ-s
,	,	pk
söngfólk	söngfólk	nheo
vantar	vanta	sfg3en
í	í	af
allar	allur	fovfo
raddir	rödd	nvfo
,	,	pk
sérstaklega	sérstaklega	aa
karlaraddir	karlarödd	nvfo
.	.	pl

Upplýsingar	upplýsing	nvfo
gefur	gefa	sfg3en
Hólmfríður	Hólmfríður	nven-s
Guðmundsdóttir	Guðmundsdóttir	nven-s
,	,	pk
s.	s.	ks
6566424	6566424	ta
.	.	pl

Félag	Félag	nhen-s
eldri	gamall	lkfevm
borgara	borgari	nkfe
,	,	pk
Reykjavík	Reykjavík	nveþ-s
,	,	pk
Ásgarði	Ásgarður	nkeþ-s
Glæsibæ	Glæsibær	nkeþ-s
.	.	pl

Kaffistofan	kaffistofa	nveng
opin	opinn	lvensf
virka	virkur	lkfosf
daga	dagur	nkfo
frá	frá	af
kl.	kl.	ks
10-13	10-13	ta
.	.	pl

Kaffi	kaffi	nhen
,	,	pk
blöðin	blað	nhfng
og	og	c
matur	matur	nken
í	í	af
hádegi	hádegi	nheþ
.	.	pl

Félagið	félag	nheng
hefur	hafa	sfg3en
opnað	opna	sþghen
heimasíðu	heimasíða	nveo
www.feb.is	www.feb.is	v
.	.	pl

Réttarferð	réttarferð	nven
í	í	af
Þverárrétt	Þverárrétt	nveo-s
sunnudaginn	sunnudagur	nkeog
15	15.	ta
september	september	nkeo
.	.	pl

Leiðsögumaður	leiðsögumaður	nken
Sigurður	Sigurður	nken-s
Kristinsson	Kristinsson	nken-s
.	.	pl

Einnig	einnig	aa
verður	verða	sfg3en
komið	koma	sþghen
í	í	af
Reykholt	Reykholt	nheo-s
og	og	c
að	að	af
Deildartunguhver	Deildartunguhver	nkeþ-s
.	.	pl

Selt	selja	sþghen
verður	verða	sfg3en
réttarkaffi	réttarkaffi	nhen
.	.	pl

Kaffihlaðborð	kaffihlaðborð	nhen
í	í	af
Munaðarnesi	Munaðarnes	nheþ-s
.	.	pl

Brottför	brottför	nven
frá	frá	af
Ásgarði	Ásgarður	nkeþ-s
Glæsibæ	Glæsibær	nkeþ-s
kl.	kl.	ks
12	12	ta
.	.	pl

Sunnudagur	sunnudagur	nken
:	:	pa
Athugið	athuga	sbg2fn
að	að	c
dansleikur	dansleikur	nken
verður	verða	sfg3en
kl.	kl.	ks
20	20	ta
Caprí-tríó	Caprí-tríó	nhen-s
leikur	leika	sfg3en
fyrir	fyrir	af
dansi	dans	nkeþ
.	.	pl

Mánudagur	mánudagur	nken
:	:	pa
Brids	brids	nhen
kl.	kl.	ks
13	13	ta
Danskennsla	danskennsla	nven
fellur	falla	sfg3en
niður	niður	aa
.	.	pl

Þriðjudagur	þriðjudagur	nken
:	:	pa
Skák	skák	nven
kl.	kl.	ks
13	13	ta
.	.	pl

Miðvikudagur	miðvikudagur	nken
:	:	pa
Göngu-hrólfar	Göngu-Hrólfur	nkfn-s
ganga	ganga	sfg3fn
frá	frá	af
Ásgarði	Ásgarður	nkeþ-s
Glæsibæ	Glæsibær	nkeþ-s
kl.	kl.	ks
10	10	ta
.	.	pl

Söngfélag	söngfélag	nhen
FEB	FEB	n----s
kóræfing	kóræfing	nven
kl.	kl.	ks
17	17	ta
.	.	pl

Línudanskennsla	línudanskennsla	nven
fellur	falla	sfg3en
niður	niður	aa
.	.	pl

Silfurlínan	silfurlína	nveng
er	vera	sfg3en
opin	opinn	lvensf
á	á	af
mánu-	mánudagur	kt
og	og	c
miðvikudögum	miðvikudagur	nkfþ
kl.	kl.	ks
10-12	10-12	ta
.	.	pl

Skrifstofa	skrifstofa	nven
félagsins	félag	nheeg
er	vera	sfg3en
flutt	fluttur	lvensf
að	að	af
Faxafeni	Faxafen	nheþ-s
12	12	ta
,	,	pk
s.	s.	ks
5882111	5882111	ta
.	.	pl

Félagsstarfið	félagsstarf	nheng
er	vera	sfg3en
áfram	áfram	aa
í	í	af
Ásgarði	Ásgarður	nkeþ-s
Glæsibæ	Glæsibær	nkeþ-s
.	.	pl

Upplýsingar	upplýsing	nvfn
á	á	af
skrifstofu	skrifstofa	nveþ
FEB	FEB	n----s

Gerðuberg	Gerðuberg	nhen-s
,	,	pk
félagsstarf	félagsstarf	nhen
.	.	pl

Sund	sund	nhen
og	og	c
leikfimiæfingar	leikfimiæfing	nvfn
í	í	af
Breiðholstlaug	Breiðholtslaug	nveþ-s
á	á	af
mánu-	mánudagur	kt
og	og	c
föstudögum	föstudagur	nkfþ
kl.	kl.	ks
9	9	ta
30	30	ta
,	,	pk
boccia	boccia	e
á	á	af
þriðjudögum	þriðjudagur	nkfþ
kl.	kl.	ks
13	13	ta
og	og	c
föstudögum	föstudagur	nkfþ
kl.	kl.	ks
10	10	ta
.	.	pl

Síðasta	síðari	lvenve
sýningarhelgi	sýningarhelgi	nven
á	á	af
myndlistarsýningu	myndlistarsýning	nveþ
Huga	Hugi	nkee-s
Jóhannessonar	Jóhannesson	nkee-s
,	,	pk
listamaðurinn	listamaður	nkeng
á	á	af
staðnum	staður	nkeþg
.	.	pl

Veitingar	veiting	nvfn
í	í	af
Kaffi	Kaffi	nheþ-s
Berg	Berg	nheþ-s
.	.	pl

Gullsmári	gullsmári	nken
,	,	pk
Gullsmára	Gullsmári	nkeþ-s
13	13	ta
.	.	pl

Í	í	af
tilefni	tilefni	nheþ
af	af	af
áttatíu	áttatíu	tfhfe
ára	ár	nhfe
afmæli	afmæli	nheþ
sínu	sinn	feheþ
opnaði	opna	sfg3eþ
Guðrún	Guðrún	nven-s
Jóhannesdóttir	Jóhannesdóttir	nven-s
myndlistarsýningu	myndlistarsýning	nveo
í	í	af
félagsheimilinu	félagsheimili	nheþg
Gullsmára	Gullsmári	nkeþ-s
,	,	pk
Gullsmára	Gullsmári	nkeþ-s
13	13	ta
,	,	pk
í	í	af
september	september	nkeþ
.	.	pl

Sýningin	sýning	nveng
er	vera	sfg3en
opin	opinn	lvensf
á	á	af
opnunartíma	opnunartími	nkeþ
félagsheimilisins	félagsheimili	nheeg
frá	frá	af
kl.	kl.	ks
9-17	9-17	ta
alla	allur	fokfo
virka	virkur	lkfosf
daga	dagur	nkfo
.	.	pl

Allir	allur	fokfn
velkomnir	velkominn	lkfnsf
.	.	pl

Heitt	heitur	lhensf
á	á	af
könnunni	kanna	nveþg
og	og	c
heimabakað	heimabakaður	lhensf
meðlæti	meðlæti	nhen
.	.	pl

Félag	Félag	nhen-s
eldri	gamall	lkfevm
borgara	borgari	nkfe
Kópavogi	Kópavogur	nkeþ-s
.	.	pl

Púttað	pútta	sþghen
á	á	af
Listatúni	Listatún	nheþ-s
í	í	af
dag	dagur	nkeo
,	,	pk
laugardag	laugardagur	nkeo
,	,	pk
kl.	kl.	ks
10.30	10.30	ta
.	.	pl

FEBK	FEBK	n----s
stendur	standa	sfg3en
fyrir	fyrir	af
opnu	opinn	lheþsf
húsi	hús	nheþ
í	í	af
dag	dagur	nkeo
kl.	kl.	ks
14	14	ta
í	í	af
Gjábakka	Gjábakki	nkeþ-s
.	.	pl

Dagskrá	dagskrá	nven
:	:	pa
Hljóðfæraleikur	hljóðfæraleikur	nken
,	,	pk
upplestur	upplestur	nken
og	og	c
fleira	margur	lhenvm
.	.	pl

Kaffi	kaffi	nhen
og	og	c
meðlæti	meðlæti	nhen
.	.	pl

Farin	fara	sþgven
verður	verða	sfg3en
hópferð	hópferð	nven
til	til	af
Akureyrar	Akureyri	nvee-s
á	á	af
vegum	vegur	nkfþ
FEBK	FEBK	n----s
vegna	vegna	af
þátttöku	þátttaka	nvee
í	í	af
20	20	ta
ára	ár	nhfe
afmæli	afmæli	nheþ
Félags	Félag	nhee-s
eldri	gamall	lkfevm
borgara	borgari	nkfe
á	á	af
Akureyri	Akureyri	nveþ-s
laugardaginn	laugardagur	nkeog
12	12.	ta
október	október	nkeo
í	í	af
Íþróttahöllinni	íþróttahöll	nveþgs
á	á	af
Akureyri	Akureyri	nveþ-s
.	.	pl

Mánudag	mánudagur	nkeo
16	16.	ta
sept.	sept.	ks
verður	verða	sfg3en
ferð	ferð	nven
í	í	af
Þverárrétt	Þverárrétt	nveo-s
í	í	af
Borgarfirði	Borgarfjörður	nkeþ-s
.	.	pl

Lagt	leggja	sþghen
af	af	af
stað	staður	nkeþ
frá	frá	af
Gjábakka	Gjábakki	nkeþ-s
kl.	kl.	ks
8	8	ta
og	og	c
frá	frá	af
Gullsmára	Gullsmári	nkeþ-s
kl.	kl.	ks
8.15	8.15	ta
Leiðsögumaður	leiðsögumaður	nken
Nanna	Nanna	nven-s
Kaaber	Kaaber	nven-s
.	.	pl

Leiðin	leið	nveng
sem	sem	ct
ekin	aka	sþgven
verður	verða	sfg3en
er	vera	sfg3en
eftirfarandi	eftirfarandi	lvenof
:	:	pa
Kópavogur	Kópavogur	nken-s
-	-	pa
Hvalfjarðargöng	Hvalfjarðargöng	nhfn-s
-	-	pa
Borgarnes	Borgarnes	nhen-s
-	-	pa
Baulan	Baula	nvengs
-	-	pa
þjóðvegur	þjóðvegur	nken
50	50	ta
að	að	af
vegamótum	vegamót	nhfþ
þjóðvegar	þjóðvegur	nkee
522	522	ta
en	en	c
eftir	eftir	af
honum	hann	fpkeþ
ekið	aka	sþghen
framhjá	framhjá	af
Arnbjargarlæk	Arnbjargarlækur	nkeþ-s
og	og	c
Höfða	Höfði	nkeþ-s
-	-	pa
að	að	af
Þverárrétt	Þverárrétt	nveþ-s
.	.	pl

Í	í	af
Þverárhlíð	Þverárhlíð	nveþ-s
áætluð	áætlaður	lvensf
koma	koma	sng
um	um	aa
kl.	kl.	ks
10	10	ta
þar	þar	aa
verður	verða	sfg3en
dvalist	dvelja	sþmhen
ca	ca	ks
2-3	2-3	ta
tíma	tími	nkfo
,	,	pk
í	í	af
bakaleið	bakaleið	nveþ
